Round,Date,Home Team,Home Result,Away Team,Away Result,Venue,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 17,20180706,Panthers,,Warriors,,Panthers Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 17,20180707,Bulldogs,,Raiders,,Belmore Sports Ground,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 17,20180708,Titans,,Broncos,,Cbus Super Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 18,20180713,Panthers,,Sharks,,Panthers Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 18,20180713,Knights,,Eels,,McDonald Jones Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 18,20180714,Bulldogs,,Rabbitohs,,ANZ Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 18,20180714,Sea Eagles,,Storm,,Lottoland,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 18,20180714,Raiders,,Cowboys,,GIO Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 18,20180715,Broncos,,Warriors,,Suncorp Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 18,20180715,Dragons,,Tigers,,UOW Jubilee Oval,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 18,20180715,Titans,,Roosters,,Cbus Super Stadium,6:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 19,20180719,Eels,,Bulldogs,,ANZ Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 19,20180720,Sharks,,Raiders,,Southern Cross Group Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 19,20180720,Broncos,,Panthers,,Suncorp Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 19,20180721,Knights,,Titans,,McDonald Jones Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
